url	author	publishDate	title	suteURL	country	title	fake	text	imageURL
2202053ad96748e8bb8d5b173629f37b	[]	2018-09-26 00:00:00	Brett Kavanaugh, U.N., Interest Rates: Your Wednesday Evening Briefing	https://www.nytimes.com/	US	Brett Kavanaugh, U.N., Interest Rates: Your Wednesday Evening Briefing	1	"1. On the eve of hearings at which one of the Supreme Court nominee’s accusers will testify, a theme has emerged as friends and acquaintances recall him as a youth: heavy drinking.

Extreme inebriation is also central in the account of a third accuser. Represented by Michael Avenatti, the lawyer who represented Stormy Daniels, she offered an account — but no witnesses — of alcohol-soaked parties when they were teenagers at which women were verbally abused, inappropriately touched and “gang raped.”

She said she saw him line up outside a bedroom where “numerous boys” were “waiting for their ‘turn’ with a girl inside the room.”"	https://static01.nyt.com/images/2018/09/26/briefing/26PM-briefing-US-TRYPT-promo/26PM-briefing-US-TRYPT-promo-facebookJumbo.jpg
30c16279b6cb40078645361c9ae0745b	[]	2018-09-26 00:00:00	Revisiting What Happened to Anita Hill	https://www.nytimes.com/	US	Revisiting What Happened to Anita Hill	1	"Revisiting What Happened to Anita Hill The law professor testified against Judge Clarence Thomas during his confirmation hearings in 1991. What has changed since?

Hosted by Michael Barbaro, produced by Alexandra Leigh Young, Neena Pathak and Clare Toeniskoetter, and edited by Larissa Anderson and Lisa Tobin"	https://static01.nyt.com/images/2018/09/22/us/politics/26daily-promo/22xp-anita-promo-facebookJumbo.jpg
a98e65134a6342e3b1e6a8ab848e6022	[]	2018-09-26 00:00:00	New Evidence, New Accuser and New Doubts Threaten Kavanaugh on Eve of Hearing	https://www.nytimes.com/	US	New Evidence, New Accuser and New Doubts Threaten Kavanaugh on Eve of Hearing	1	"WASHINGTON — Judge Brett M. Kavanaugh faced a whirlwind of new accusations on Wednesday that threatened to derail his nomination to the Supreme Court as key Republican senators wavered in their support and President Trump, in a rambling and combative news conference, acknowledged that he might be persuaded by the testimony of one of the judge’s female accusers.

On the eve of an extraordinary hearing of the Senate Judiciary Committee at which both Judge Kavanaugh and Christine Blasey Ford, a California professor who has accused him of assaulting her when they were both teenagers, will testify, Mr. Trump said that “some very evil” Democrats had plotted to destroy Judge Kavanaugh’s reputation. And he lamented what he called “a very dangerous period in our country” in which men are presumed guilty.

But even as he described the charges against Judge Kavanaugh as “false accusations,” Mr. Trump seemed, for the first time, to acknowledge the mounting challenges facing his nominee. Asked why he repeatedly sides with men over their female accusers, the president said hearing stories from Dr. Blasey might change his mind.

“I’m going to see what happens tomorrow,” Mr. Trump said during an hourlong news conference in New York, where he was attending the United Nations General Assembly. “I’m going to be watching, you know, believe it or not. It’s possible they will be convincing.”"	https://static01.nyt.com/images/2018/09/27/us/politics/27dc-kavanaugh1/27dc-kavanaugh1-facebookJumbo.jpg
0f1a5d95fd2d479b8c136ea2e915377e	[]	2018-09-26 00:00:00	Julie Swetnick Is Third Woman to Accuse Brett Kavanaugh of Sexual Misconduct	https://www.nytimes.com/	US	Julie Swetnick Is Third Woman to Accuse Brett Kavanaugh of Sexual Misconduct	1	"[Read our story debunking 5 viral rumors about Judge Kavanaugh’s accusers.]

On Wednesday afternoon, more than 60 classmates from Georgetown Prep and women from sister schools who say they knew Judge Kavanaugh in high school signed a letter to rebut Ms. Swetnick’s allegations and deny ever having met her. “We never witnessed any behavior that even approaches what is described in this allegation. It is reprehensible,” said the letter, which was addressed to members of the Senate Judiciary Committee. “Brett Kavanaugh is a good man. He has always treated women with respect and decency.”

Mr. Avenatti had been using his Twitter account for days to promote what he said would be explosive allegations against Judge Kavanaugh. And immediately after he shared what he called a sworn affidavit from Ms. Swetnick, it drew immediate coverage across social media and cable news as another revelation to rock the confirmation process.

Asked in a brief interview why Ms. Swetnick would be attending parties with high schoolers during her college years, Mr. Avenatti said that the parties in question included people of both high school and college ages.

Mr. Avenatti said he had corroborating witnesses who could back up Ms. Swetnick’s accounts, but was not ready to present them because he was waiting to see if the Senate Judiciary Committee would begin a full investigation into her claims as he demanded, along with an F.B.I. inquiry. In her statement, Ms. Swetnick said she would be willing to appear before the committee.

In an email to Mr. Avenatti on Wednesday afternoon, Mike Davis, the committee’s chief nominations counsel, offered to arrange an interview with Ms. Swetnick.

“Please let me know immediately whether your client will agree to an interview by committee investigators today,” Mr. Davis wrote in the email, which was obtained by The Times. “We can do a telephone interview anytime this afternoon or evening.”

In recent days, Judge Kavanaugh and Mr. Trump, who nominated him in July, have been pushing back against the allegations relating to Judge Kavanaugh’s treatment of women. Mr. Trump called the claims a “con game” by Democrats who were “trying to delay and obstruct his confirmation.”"	https://static01.nyt.com/images/2018/09/27/us/27Swetnick-print/27Swetnick1-facebookJumbo-v3.jpg
c379a072d56745e4baa2714aa2c89ea8	[]	2018-09-26 00:00:00	Yale Touted Kavanaugh; Now Comes ‘a Moment of Reckoning’	https://www.nytimes.com/	US	Yale Touted Kavanaugh; Now Comes ‘a Moment of Reckoning’	1	"Students and faculty members from Yale Law School packed the campus’s largest church on Tuesday for a hastily arranged town hall, where they spoke about the sexual assault allegations swirling around the Supreme Court nominee, Judge Brett M. Kavanaugh, a 1990 graduate of the school.

That was after a campus sit-in that prompted the cancellation of many classes, and protests in Washington, D.C., where two of their colleagues were arrested, and a blistering email that a group of students sent out to their classmates and faculty that said that the Kavanaugh nomination had exposed “our entire school’s culture of legal elitism and fixation on proximity to power.”

It was an abrupt shift on campus. In the days after Judge Kavanaugh’s nomination in June, the school’s website boasted that, if confirmed, he would be the fourth sitting member of the Supreme Court who had gone to Yale. The school’s dean, Heather K. Gerken, called him “a longtime friend to many of us in the Yale Law School community.” Other professors praised him.

Now, in the wake of recent troubling allegations linked to the school, the authors of the email said many students felt even more “alienated, disillusioned, and frustrated with the ambivalence and moral abdication of this institution, its faculty, and its administration.”"	https://static01.nyt.com/images/2018/09/27/nyregion/27yale3/merlin_144256749_4936c343-1bd2-487e-bd9f-e5562f64270f-facebookJumbo.jpg
093f4f98e87a44d78ad6711d0cedf2d6	[]	2018-09-26 00:00:00	A Hearing’s Test: Blasey Must Seem Credible. Kavanaugh Must Defend but Not Attack.	https://www.nytimes.com/	US	A Hearing’s Test: Blasey Must Seem Credible. Kavanaugh Must Defend but Not Attack.	1	"WASHINGTON — President Trump has some advice for Judge Brett M. Kavanaugh as he prepares for Thursday’s climactic Senate hearing to confront sexual misconduct allegations: Be more aggressive, show more outrage, push back more. In other words, be more like Mr. Trump.

But what works for Mr. Trump might not work for Judge Kavanaugh. His challenge is not to look like he is attacking his accusers. Anger could touch off a backlash, advisers said, though at the same time he needs to show more indignation than he did during a Fox News interview on Monday when he stuck closely to talking points and looked rehearsed.

For Christine Blasey Ford, the California university professor who will testify about the night she said a drunken Mr. Kavanaugh held her down on a bed and tried to remove her clothes, the challenge is different. An unknown figure, she will be introducing herself to the senators and the nation for the first time, explaining who she is, what happened 36 years ago and why her account is more credible than his denial. She faces a veteran sex crimes prosecutor who will question her for Republicans, a scenario that could rattle even a more seasoned witness.

In her case, according to political veterans, details will matter. She has not been able to determine the date or location of the incident, so the more she can recall about the event, the more specific her account is, the stronger her case will be. She is no veteran of the klieg-light culture of Washington."	https://static01.nyt.com/images/2018/09/27/us/politics/27dc-prepare-sub/27dc-prepare-sub-facebookJumbo.jpg
c934fb42cefb478a99f3274654b1332c	[]	2018-09-26 00:00:00	At the Center of the Kavanaugh Accusations: Heavy Drinking	https://www.nytimes.com/	US	At the Center of the Kavanaugh Accusations: Heavy Drinking	1	"As accusations of sexual impropriety have threatened to upend the confirmation of Judge Brett M. Kavanaugh to the Supreme Court, a common theme has emerged connecting the decades-old alleged incidents: heavy drinking.

Christine Blasey Ford described Judge Kavanaugh as “stumbling drunk” when, as a 17-year-old prep school student in suburban Washington, he allegedly tried to force himself on her during a party in 1982. Then, at an alcohol-fueled gathering during his freshman year at Yale, his former classmate Deborah Ramirez says, Judge Kavanaugh exposed himself to her. He has denied both allegations.

The backdrop to these complaints was a culture of hard partying that permeated certain quarters of high school and college life in the 1980s, when binge drinking among teenagers had reached record levels. No evidence has emerged to indicate that the episodes of drinking ascribed to Judge Kavanaugh back then carried forward into his professional or family life, or that the handful of F.B.I. background checks he has faced in his official Washington career unearthed any red flags about his drinking as an adult.

But it is his high school and undergraduate years that have proved to be a mine field during his Supreme Court confirmation process, and questions about drinking during that period are expected to come up when he testifies before the Senate Judiciary Committee on Thursday. Judge Kavanaugh himself has provided grist for this line of inquiry through his wistful references to youthful drinking in yearbook entries and speeches over the years, though he has said he never drank so much that he blacked out or could not remember events."	https://static01.nyt.com/images/2018/09/27/us/27Drinking1/27Drinking1-facebookJumbo.jpg
5a0e1aa421084754b64d05ffe4bacf73	[]	2018-09-26 00:00:00	Debunking 5 (More) Viral Rumors About Kavanaugh’s Accusers	https://www.nytimes.com/	US	Debunking 5 (More) Viral Rumors About Kavanaugh’s Accusers	1	"Claim: Ms. Ramirez has ties to the liberal megadonor George Soros.

Verdict: False.

This week, two distinct — but equally false — rumors spread about links between Judge Kavanaugh’s accusers and George Soros, the liberal billionaire and Democratic megadonor. (Mr. Soros makes frequent appearances in internet conspiracy theories.)

The first claim was that Ms. Ramirez, who lives in Colorado, had received a fellowship in 2013 from the Open Society Foundations, a philanthropic organization started by Mr. Soros.

In fact, a different Deborah Ramirez — a law professor at Northeastern University in Boston — received a grant from the organization.

The false claim began to pick up steam on conservative social media on Monday morning. John Fund, a columnist for National Review, tweeted that the “irony of this is just too great.” Mr. Fund subsequently apologized and issued a correction on Twitter."	https://static01.nyt.com/images/2018/09/26/business/00viralrumors07/merlin_143346492_c9009ea0-afa2-4320-86ac-ba44177d513f-facebookJumbo.jpg
b523f35d209542cd8796dbd51c2cefe2	[]	2018-09-26 00:00:00	5 Takeaways From Trump’s News Conference at the United Nations	https://www.nytimes.com/	US	5 Takeaways From Trump’s News Conference at the United Nations	1	"President Trump complained on Wednesday that “evil people,” including women in search of fame and fortune, routinely fabricate sexual assault charges against powerful men, and argued that his own experience with such allegations makes him more skeptical of the accusations threatening to bring down Judge Brett M. Kavanaugh, his nominee for the Supreme Court.

In a remarkable and rambling 83-minute news conference on the sidelines of the United Nations General Assembly, Mr. Trump was by turns combative, humorous and boastful. He defended Judge Kavanaugh and railed against what he called the “big, fat con job” that he said Democrats were perpetrating to derail the nomination, even as he suggested he could still jettison his pick depending on the outcome of a high-profile hearing on Thursday.

Here are five takeaways from the extraordinary exchange:

The president identifies with a man accused of sexual assault, again.

Mr. Trump stopped short of branding the three women accusing Judge Kavanaugh of sexual assault or misconduct as liars, although he did say his nominee faced “false accusations.” He said he was eager to hear the testimony before the Senate Judiciary Committee by Christine Blasey Ford, who has said Judge Kavanaugh assaulted her at a party in the 1980s when both were in high school.

But the president made it clear that he believed his nominee and considered the allegations against the judge as part of a smear campaign hatched by Democrats, not credible charges. In doing so, Mr. Trump, as he has many times in the past, sided with a man accused of sexual misconduct rather than the women making those claims. And he made clear that his penchant for doing so is rooted in being accused of sexual assault himself — he says falsely — and his anger at having to contend with such allegations."	https://static01.nyt.com/images/2018/09/26/us/26DC-Takeaways/merlin_144387372_ba018681-1bb4-48ef-a4f6-b4308de1bab9-facebookJumbo.jpg
35509f4c5ba14071bfd47e743bdf8657	[]	2018-09-26 00:00:00	Trump Accuses China of Interfering in Midterm Elections	https://www.nytimes.com/	US	Trump Accuses China of Interfering in Midterm Elections	1	"UNITED NATIONS — President Trump on Wednesday accused a foreign power of meddling in an American election: not Russia, but China.

The Chinese, Mr. Trump claimed, were trying to damage his political standing before the midterm elections because of his imposition of tariffs on billions of dollars in Chinese goods. Speaking at the United Nations Security Council, where China’s foreign minister was also present, he said, “They do not want me or us to win because I am the first president to ever challenge China on trade.”

It was not the first time the president has accused the Chinese of meddling in the nation’s affairs: He has complained that in response to his tariffs, it had imposed retaliatory ones aimed at American farmers and other politically sensitive constituencies in states that support him. But he has never leveled the accusation so bluntly or in such a high-profile international setting.

Mr. Trump did not suggest that China’s behavior was on the scale of Russia’s sophisticated campaign of manipulating social media and the release of hacked emails during the 2016 presidential election."	https://static01.nyt.com/images/2018/09/27/world/27nations-china/27nations-china-facebookJumbo.jpg
